Datum;Schlusskurs;SMA
2020-06-18 00:00:00;196,32;186,0661
2020-06-17 00:00:00;194,24;185,5358
2020-06-16 00:00:00;193,57;184,983
2020-06-15 00:00:00;188,94;184,527
2020-06-12 00:00:00;187,74;184,2145
2020-06-11 00:00:00;186,27;183,8312
2020-06-10 00:00:00;196,84;183,4824
2020-06-09 00:00:00;189,8;182,7446
2020-06-08 00:00:00;188,36;182,567
2020-06-05 00:00:00;187,2;182,3587
2020-06-04 00:00:00;182,92;182,1546
2020-06-03 00:00:00;185,36;182,1108
2020-06-02 00:00:00;184,91;181,8574
2020-06-01 00:00:00;182,83;181,531
2020-05-29 00:00:00;183,25;181,0963
2020-05-28 00:00:00;181,4;180,8709
2020-05-27 00:00:00;181,81;180,6493
2020-05-26 00:00:00;181,57;180,0292
2020-05-22 00:00:00;183,51;179,6313
2020-05-21 00:00:00;183,43;179,1618
2020-05-20 00:00:00;185,66;178,541
2020-05-19 00:00:00;183,63;177,9134
2020-05-18 00:00:00;184,91;177,1291
2020-05-15 00:00:00;183,16;176,6404
2020-05-14 00:00:00;180,53;176,4142
2020-05-13 00:00:00;179,75;176,2411
2020-05-12 00:00:00;182,51;175,8506
2020-05-11 00:00:00;186,74;175,4136
2020-05-08 00:00:00;184,68;174,3603
2020-05-07 00:00:00;183,6;173,391
2020-05-06 00:00:00;182,54;172,4746
2020-05-05 00:00:00;180,76;171,5296
2020-05-04 00:00:00;178,84;170,7611
2020-05-01 00:00:00;174,57;169,5203
2020-04-30 00:00:00;179,21;168,5624
2020-04-29 00:00:00;177,43;167,2179
2020-04-28 00:00:00;169,81;166,2396
2020-04-27 00:00:00;174,05;165,7643
2020-04-24 00:00:00;174,55;164,5563
2020-04-23 00:00:00;171,42;163,6415
2020-04-22 00:00:00;173,52;162,4261
2020-04-21 00:00:00;167,82;161,1769
2020-04-20 00:00:00;175,06;159,5973
2020-04-17 00:00:00;178,6;157,7265
2020-04-16 00:00:00;177,04;155,9459
2020-04-15 00:00:00;171,88;154,1282
2020-04-14 00:00:00;173,7;152,8726
2020-04-13 00:00:00;165,51;150,9735
2020-04-09 00:00:00;165,14;150,6421
2020-04-08 00:00:00;165,13;149,3482
2020-04-07 00:00:00;163,49;148,7777
2020-04-06 00:00:00;165,27;148,6502
2020-04-03 00:00:00;153,83;147,9234
2020-04-02 00:00:00;155,26;148,3074
2020-04-01 00:00:00;152,11;148,8536
2020-03-31 00:00:00;157,71;149,7684
2020-03-30 00:00:00;160,23;150,1058
2020-03-27 00:00:00;149,7;150,7289
2020-03-26 00:00:00;156,11;151,3396
2020-03-25 00:00:00;146,92;151,4423
2020-03-24 00:00:00;148,34;152,5957
2020-03-23 00:00:00;135,98;153,5746
2020-03-20 00:00:00;137,35;155,3065
2020-03-19 00:00:00;142,71;157,3524
2020-03-18 00:00:00;140,4;159,4216
2020-03-17 00:00:00;146,57;161,7474
2020-03-16 00:00:00;135,42;163,7393
2020-03-13 00:00:00;158,83;166,1914
2020-03-12 00:00:00;139,06;167,401
2020-03-11 00:00:00;153,63;169,6408
2020-03-10 00:00:00;160,92;171,1444
2020-03-09 00:00:00;150,62;172,4972
2020-03-06 00:00:00;161,57;174,1229
2020-03-05 00:00:00;166,27;175,1926
2020-03-04 00:00:00;170,55;175,8446
2020-03-03 00:00:00;164,51;176,2951
2020-03-02 00:00:00;172,79;176,7612
2020-02-28 00:00:00;162,01;176,6113
2020-02-27 00:00:00;158,18;177,1223
2020-02-26 00:00:00;170,17;177,5888
2020-02-25 00:00:00;168,07;177,3329
2020-02-24 00:00:00;170,89;177,0238
2020-02-21 00:00:00;178,59;176,7113
2020-02-20 00:00:00;184,42;176,1
2020-02-19 00:00:00;187,28;175,1489
2020-02-18 00:00:00;187,23;174,0956
2020-02-14 00:00:00;185,35;173,0997
2020-02-13 00:00:00;183,71;172,1507
2020-02-12 00:00:00;184,71;171,135
2020-02-11 00:00:00;184,44;170,0178
2020-02-10 00:00:00;188,7;168,9709
2020-02-07 00:00:00;183,89;167,6173
2020-02-06 00:00:00;183,63;166,5387
2020-02-05 00:00:00;179,9;165,374
2020-02-04 00:00:00;180,12;164,2697
2020-02-03 00:00:00;174,38;163,2263
2020-01-31 00:00:00;170,23;162,4465
2020-01-30 00:00:00;172,78;161,9711
2020-01-29 00:00:00;168,04;161,225
2020-01-28 00:00:00;165,46;160,708
2020-01-27 00:00:00;162,28;160,3864
2020-01-24 00:00:00;165,04;160,2078
2020-01-23 00:00:00;166,72;159,8288
2020-01-22 00:00:00;165,7;159,3682
2020-01-21 00:00:00;166,5;158,958
2020-01-17 00:00:00;167,1;158,4242
2020-01-16 00:00:00;166,17;157,7943
2020-01-15 00:00:00;163,18;157,2264
